Date,Description,Amount
2026-01-01,MORTGAGE PAYMENT #778812,-2150.00
2026-01-02,MONTHLY PLAN FEE,-16.95
2026-01-03,RRSP CONTRIBUTION FIDELITY 4471,-500.00
2026-01-12,BILL PAYMENT ENBRIDGE GAS,-95.18
2026-01-12,BILL PAYMENT HYDRO ONE,-109.17
2026-01-15,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-01-19,BILL PAYMENT TEKSAVVY,-74.99
2026-01-20,CHEQUE 0042,-5000.00
2026-01-21,MB-TRANSFER TO CREDIT CARD 4512,-1655.91
2026-01-22,MB-TRANSFER TO CREDIT CARD 7730,-644.00
2026-01-31,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-01-31,WITHDRAWAL FREE INTERAC E-TRANSFER,-950.00
2026-02-01,MORTGAGE PAYMENT #778812,-2150.00
2026-02-02,MONTHLY PLAN FEE,-16.95
2026-02-03,RRSP CONTRIBUTION FIDELITY 4471,-500.00
2026-02-10,E-TRANSFER SENT,-1500.00
2026-02-12,BILL PAYMENT ENBRIDGE GAS,-75.63
2026-02-12,BILL PAYMENT HYDRO ONE,-108.59
2026-02-15,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-02-19,BILL PAYMENT TEKSAVVY,-74.99
2026-02-21,MB-TRANSFER TO CREDIT CARD 4512,-1700.52
2026-02-22,MB-TRANSFER TO CREDIT CARD 7730,-522.62
2026-02-28,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-02-28,WITHDRAWAL FREE INTERAC E-TRANSFER,-950.00
2026-03-01,MORTGAGE PAYMENT #778812,-2150.00
2026-03-02,MONTHLY PLAN FEE,-16.95
2026-03-03,RRSP CONTRIBUTION FIDELITY 4471,-500.00
2026-03-09,ONLINE BANKING TRANSFER FROM LOC,2000.00
2026-03-12,BILL PAYMENT ENBRIDGE GAS,-98.35
2026-03-12,BILL PAYMENT HYDRO ONE,-132.42
2026-03-15,CASHBACK REWARD CREDIT,250.00
2026-03-15,E-TRANSFER SENT,-250.00
2026-03-15,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-03-19,BILL PAYMENT TEKSAVVY,-74.99
2026-03-21,MB-TRANSFER TO CREDIT CARD 4512,-1765.27
2026-03-22,MB-TRANSFER TO CREDIT CARD 7730,-607.25
2026-03-31,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-04-01,MORTGAGE PAYMENT #778812,-2150.00
2026-04-01,WITHDRAWAL FREE INTERAC E-TRANSFER,-950.00
2026-04-02,MONTHLY PLAN FEE,-16.95
2026-04-03,RRSP CONTRIBUTION FIDELITY 4471,-500.00
2026-04-05,MOBILE CHEQUE DEPOSIT,2000.00
2026-04-12,BILL PAYMENT ENBRIDGE GAS,-35.04
2026-04-12,BILL PAYMENT HYDRO ONE,-131.29
2026-04-14,ONLINE BANKING LOAN PAYMENT LOC,-2000.00
2026-04-15,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-04-19,BILL PAYMENT TEKSAVVY,-74.99
2026-04-21,MB-TRANSFER TO CREDIT CARD 4512,-1519.97
2026-04-22,MB-TRANSFER TO CREDIT CARD 7730,-545.68
2026-04-30,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-04-30,WITHDRAWAL FREE INTERAC E-TRANSFER,-950.00
2026-05-01,MORTGAGE PAYMENT #778812,-2150.00
2026-05-02,MONTHLY PLAN FEE,-16.95
2026-05-03,RRSP CONTRIBUTION FIDELITY 4471,-500.00
2026-05-12,BILL PAYMENT ENBRIDGE GAS,-37.80
2026-05-12,BILL PAYMENT HYDRO ONE,-108.88
2026-05-15,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-05-19,BILL PAYMENT TEKSAVVY,-74.99
2026-05-21,MB-TRANSFER TO CREDIT CARD 4512,-1624.83
2026-05-22,MB-TRANSFER TO CREDIT CARD 7730,-625.91
2026-05-31,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-06-01,MORTGAGE PAYMENT #778812,-2150.00
2026-06-01,WITHDRAWAL FREE INTERAC E-TRANSFER,-950.00
2026-06-02,MONTHLY PLAN FEE,-16.95
2026-06-03,RRSP CONTRIBUTION FIDELITY 4471,-500.00
2026-06-12,BILL PAYMENT ENBRIDGE GAS,-36.15
2026-06-12,BILL PAYMENT HYDRO ONE,-128.98
2026-06-15,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-06-19,BILL PAYMENT TEKSAVVY,-74.99
2026-06-21,MB-TRANSFER TO CREDIT CARD 4512,-1505.11
2026-06-22,MB-TRANSFER TO CREDIT CARD 7730,-400.61
2026-06-26,TAX REFUND CANADA,812.40
2026-06-30,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-06-30,WITHDRAWAL FREE INTERAC E-TRANSFER,-950.00
2026-07-01,MORTGAGE PAYMENT #778812,-2150.00
2026-07-02,MONTHLY PLAN FEE,-16.95
2026-07-03,RRSP CONTRIBUTION FIDELITY 4471,-500.00
2026-07-12,BILL PAYMENT ENBRIDGE GAS,-39.15
2026-07-12,BILL PAYMENT HYDRO ONE,-139.30
2026-07-15,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-07-19,BILL PAYMENT TEKSAVVY,-74.99
2026-07-21,MB-TRANSFER TO CREDIT CARD 4512,-1802.57
2026-07-22,MB-TRANSFER TO CREDIT CARD 7730,-699.86
2026-07-31,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-07-31,WITHDRAWAL FREE INTERAC E-TRANSFER,-950.00
2026-08-01,MORTGAGE PAYMENT #778812,-2150.00
2026-08-02,MONTHLY PLAN FEE,-16.95
2026-08-03,RRSP CONTRIBUTION FIDELITY 4471,-500.00
2026-08-12,BILL PAYMENT ENBRIDGE GAS,-28.92
2026-08-12,BILL PAYMENT HYDRO ONE,-122.98
2026-08-15,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-08-19,BILL PAYMENT TEKSAVVY,-74.99
2026-08-21,MB-TRANSFER TO CREDIT CARD 4512,-1570.20
2026-08-22,MB-TRANSFER TO CREDIT CARD 7730,-522.98
2026-08-31,PAYROLL DEPOSIT MAPLEWORKS INC,3850.00
2026-09-02,WITHDRAWAL FREE INTERAC E-TRANSFER,-950.00
