Date;Description;Debit;Credit
03/01/2026;COSTCO WHSL #921 NEWTOWN ON;191,25;
06/01/2026;FIDO MOBILE;65,00;
08/01/2026;PETRO-CANADA 2210;69,31;
09/01/2026;NETFLIX.COM;17,99;
10/01/2026;COSTCO WHSL #921 NEWTOWN ON;62,23;
10/01/2026;LOBLAWS #1043 NEWTOWN ON;183,82;
11/01/2026;SPOTIFY;11,99;
12/01/2026;COSTCO WHSL #921 NEWTOWN ON;117,30;
14/01/2026;SHELL C21188;52,84;
16/01/2026;SHOPPERS DRUG MART #0771;53,06;
17/01/2026;MAPLE LEAF RESTAURANT;30,90;
17/01/2026;THE DAILY GRIND CAFE;55,45;
18/01/2026;COSTCO WHSL #921 NEWTOWN ON;187,16;
19/01/2026;MAPLE LEAF RESTAURANT;37,21;
21/01/2026;NO FRILLS 2277 NEWTOWN ON;161,22;
23/01/2026;PAYMENT - THANK YOU;;1757,26
23/01/2026;PETRO-CANADA 2210;72,39;
25/01/2026;UBER EATS TORONTO ON;54,00;
26/01/2026;TIM HORTONS #4410;40,65;
03/02/2026;WINNERS #302 NEWTOWN ON;148,20;
04/02/2026;MAPLE LEAF RESTAURANT;46,91;
05/02/2026;NO FRILLS 2277 NEWTOWN ON;189,71;
06/02/2026;FIDO MOBILE;65,00;
06/02/2026;SHELL C21188;76,64;
07/02/2026;THE DAILY GRIND CAFE;47,10;
09/02/2026;NETFLIX.COM;17,99;
09/02/2026;NO FRILLS 2277 NEWTOWN ON;107,16;
10/02/2026;NO FRILLS 2277 NEWTOWN ON;175,57;
11/02/2026;MAPLE LEAF RESTAURANT;59,42;
11/02/2026;SPOTIFY;11,99;
13/02/2026;COSTCO WHSL #921 NEWTOWN ON;72,84;
15/02/2026;MAPLE LEAF RESTAURANT;53,44;
15/02/2026;NO FRILLS 2277 NEWTOWN ON;197,44;
16/02/2026;PETRO-CANADA 2210;70,05;
17/02/2026;NO FRILLS 2277 NEWTOWN ON;120,37;
17/02/2026;SHOPPERS DRUG MART #0771;37,25;
17/02/2026;WINNERS #302 NEWTOWN ON;;42,10
18/02/2026;TIM HORTONS #4410;54,73;
23/02/2026;PAYMENT - THANK YOU;;1497,29
26/02/2026;SHELL C21188;63,40;
27/02/2026;COSTCO WHSL #921 NEWTOWN ON;39,60;
